,ave_household_size,median_income,rental_vacancy_rate,p_units_1_detached,p_units_1,p_units_2,p_units_34,p_units_59,p_units_10,p_units_20,p_built_2014,p_built_2010,p_built_2000,p_built_1990,p_built_1980,p_built_1970,p_built_1960,p_built_1950,p_built_1940,p_built_1930,median_rooms,median_rent,median-value
28224,2.54,61607.0,0.0,83.4,0.9,2.2,2.2,0.9,0.0,0.0,0.0,0.0,4.4,7.4,5.2,11.4,11.8,20.5,12.2,27.1,6.0,669.0,101100.0
28227,2.31,40467.0,12.2,66.8,4.4,6.7,3.6,4.9,2.7,5.4,0.0,1.4,3.0,5.4,7.3,9.9,12.1,19.7,11.2,30.0,5.7,697.0,89800.0
28228,2.1,40291.0,13.3,74.4,2.4,3.9,8.3,0.0,0.0,4.1,0.0,0.0,2.2,9.3,18.0,30.8,10.9,15.5,5.3,7.9,5.3,744.0,91800.0
28229,2.41,18929.0,0.0,71.0,0.0,0.0,6.5,0.0,0.0,0.0,3.2,0.0,0.0,9.7,19.4,0.0,0.0,1.6,0.0,66.1,6.7,500.0,64000.0
28233,2.11,27576.0,9.2,74.8,0.5,4.4,7.6,4.4,0.0,0.0,0.6,0.0,3.6,3.2,8.0,15.5,8.3,5.3,23.8,31.8,5.7,588.0,60500.0
28234,2.49,33125.0,7.9,65.9,1.2,0.0,0.0,3.7,5.2,0.0,1.9,0.0,1.2,9.6,18.7,14.6,9.8,17.0,14.9,12.3,5.5,700.0,52500.0
28235,2.66,44769.0,4.8,52.3,26.5,2.6,3.3,3.9,6.2,0.0,1.9,3.4,32.0,8.6,13.5,18.9,6.3,4.8,1.4,9.2,5.5,1180.0,165700.0
28236,2.71,38239.0,8.0,78.1,0.0,0.0,9.3,0.9,0.0,3.9,0.0,0.0,7.7,3.4,11.7,14.3,19.1,26.6,3.1,14.2,6.0,774.0,100500.0
28240,2.19,53438.0,0.0,61.8,7.1,0.0,1.3,18.2,2.7,0.0,0.0,0.0,3.1,7.1,28.0,23.1,1.8,5.3,8.0,23.6,5.1,656.0,104700.0
28241,2.4,32250.0,0.0,92.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,8.5,4.9,3.7,15.9,7.3,18.3,39.0,5.8,663.0,51700.0
28243,2.16,27311.0,14.6,74.5,1.2,4.4,2.9,2.7,1.0,4.3,0.0,0.0,1.9,9.4,4.6,10.2,7.3,13.2,12.7,40.8,5.7,474.0,41500.0
28244,2.1,29236.0,2.5,71.0,3.8,11.6,1.8,3.0,4.8,0.8,0.0,0.0,3.5,2.8,2.3,2.0,14.6,19.6,5.8,49.4,5.9,607.0,69800.0
28245,2.13,29181.0,5.5,64.1,0.9,5.3,15.1,12.6,0.9,0.0,0.0,0.3,0.6,6.3,6.5,42.0,7.9,20.4,3.9,12.0,5.4,659.0,116800.0
