,poverty,ave_household_size,p_highschool_plus,p_bachelors_plus,p_native_born,p_unemployed,p_occ_business_science_art,p_occ_service,p_occ_sales_office,p_occ_resources_construction,p_occ_production_transport,med_household_income,mean_household_income,p_household_owner_occupied,p_household_renter_occupied,p_grapi_15,p_grapi_15-19.9,p_grapi_20-24.9,p_grapi_25-29.9,p_grapi_30-34.9,p_grapi_35,total_pop,p_race_white,p_race_black,p_race_am_indian,p_race_asian,p_race_nat_hawaiian_pac_islander,p_race_other,p_race_hispanic
23405,1.0,3.02,81.7,11.4,93.3,19.9,44.0,11.6,24.8,0.0,19.6,31773.0,35828.0,43.7,56.3,8.0,20.0,19.6,6.2,0.0,46.2,1967,43.3,59.5,1.3,0.0,0.0,0.0,14.9
23408,0.0,3.26,97.4,61.6,91.2,3.5,55.1,8.8,26.8,3.2,6.1,109781.0,134310.0,90.7,9.3,26.5,19.3,17.7,2.6,6.0,27.9,17500,85.9,8.7,1.0,5.9,0.1,0.7,5.8
23409,1.0,2.45,89.4,31.2,96.0,7.7,40.4,19.1,24.9,4.9,10.6,47008.0,69105.0,57.7,42.3,11.2,11.4,15.3,12.8,13.6,35.7,37840,51.6,46.4,0.7,3.1,0.3,0.2,2.6
23410,0.0,2.24,97.9,63.6,99.1,0.0,50.3,25.2,13.6,3.1,7.8,85476.0,112746.0,54.6,45.4,32.0,8.3,10.0,23.1,4.2,22.3,2712,96.9,0.8,2.2,0.0,0.0,0.0,3.0
23411,0.0,2.21,95.2,58.0,96.0,4.3,57.5,11.6,21.6,4.6,4.6,62008.0,101523.0,76.1,23.9,11.6,16.9,22.1,14.6,8.8,26.1,10466,77.1,20.0,0.7,3.5,0.5,1.0,0.7
23412,0.0,2.63,94.3,24.7,95.8,10.9,35.4,23.4,28.4,5.9,6.9,56007.0,71137.0,83.1,16.9,19.7,0.0,12.8,13.7,19.1,34.7,5950,85.7,10.7,1.0,1.1,0.0,2.0,5.2
23413,1.0,2.68,78.8,11.6,98.8,4.3,26.2,14.8,25.4,13.8,19.8,37045.0,45321.0,74.4,25.6,18.9,0.0,18.9,18.9,0.0,43.2,835,56.5,46.3,0.0,0.0,0.0,0.8,0.0
23414,0.0,2.69,93.1,41.1,95.3,5.1,42.8,12.2,32.1,4.6,8.3,71436.0,85763.0,65.5,34.5,14.0,17.8,13.0,9.8,5.8,39.5,14451,78.1,19.3,1.0,2.6,0.0,1.6,4.2
23415,0.0,2.71,90.9,19.8,96.2,5.6,27.0,16.8,22.3,4.7,29.1,52820.0,69668.0,75.0,25.0,21.4,11.2,13.7,31.8,3.5,18.4,8455,60.7,34.9,2.4,2.4,0.0,1.6,3.9
23416,1.0,2.68,62.1,7.1,100.0,15.8,14.1,21.2,27.1,20.0,17.6,30667.0,33744.0,77.3,22.7,0.0,44.4,11.1,44.4,0.0,0.0,236,15.3,86.4,1.7,1.7,0.0,0.0,0.0
23417,1.0,2.69,93.0,15.9,100.0,2.5,16.4,25.8,35.4,0.0,22.5,28034.0,30205.0,53.9,46.1,0.0,0.0,0.0,7.0,0.0,93.0,1707,0.0,100.0,0.0,0.0,0.0,0.0,0.0
23418,1.0,2.62,79.2,18.9,98.9,7.1,29.3,14.5,26.2,8.0,22.0,30058.0,43089.0,56.0,44.0,10.6,18.8,9.0,10.6,16.0,35.2,12756,59.8,40.7,2.3,1.1,0.0,1.6,2.2
23419,1.0,2.78,71.9,14.3,93.6,12.8,17.1,21.0,20.6,10.9,30.5,32374.0,56298.0,51.3,48.7,9.8,10.9,11.3,15.6,8.7,43.7,15393,33.0,62.8,0.7,0.2,0.2,5.0,13.0
23420,0.0,2.04,91.8,22.0,96.0,4.4,26.4,26.9,29.1,8.4,9.2,42879.0,53662.0,76.4,23.6,13.0,3.2,10.6,15.4,11.4,46.4,9702,95.5,3.1,1.3,2.1,0.0,2.0,2.9
23421,1.0,2.57,85.8,12.4,96.6,14.3,20.9,18.2,27.6,13.6,19.7,40664.0,44337.0,68.0,32.0,4.4,7.6,12.0,19.6,7.0,49.4,1490,84.1,12.3,2.4,2.6,0.0,2.4,7.0
23422,1.0,2.07,52.8,3.0,100.0,21.3,16.5,12.9,20.6,8.8,41.2,16417.0,17922.0,45.3,54.7,6.9,0.0,14.9,8.9,0.0,69.3,755,58.7,41.3,0.0,0.0,0.0,0.0,0.0
